bhf,location,land
Aachen Hbf,Aachen,NW
Aachen Süd(Gr),Aachen,NW
Aalen Hbf,Aalen,BW
Aalst,no-data,BY
Aarhus,no-data,BY
Ainring,Ainring,BY
Almelo,no-data,BY
Altenbeken,Altenbeken,NW
Amersfoort,no-data,BY
Amsterdam Centraal,no-data,BY
Amsterdam Centraal,Naumburg,ST
Andernach,Andernach,RP
Angermünde,Angermünde,BB
Angleur,no-data,BY
Anklam,Anklam,MV
Ansbach,Ansbach+(Mittelfranken),BY
Antwerpen Centraal,no-data,BY
Apeldoorn,no-data,BY
Apolda,Apolda,TH
Arnhem Centraal,no-data,BY
Arth-Goldau,no-data,BY
arth-Goldau,no-data,BY
Aschaffenburg Hbf,Aschaffenburg,BY
Augsburg Hbf,Augsburg,BY
Augustfehn,no-data,BY
Aulendorf,Aulendorf,BW
Bad Bentheim,Bad Bentheim,NI
Bad Endorf,Bad+Endorf+(Oberbayern),BY
Bad Gastein,no-data,BY
Bad Hersfeld,Bad+Hersfeld,HE
Bad Hofgastein,no-data,BY
Bad Kleinen,Bad Kleinen,MV
Bad Kleinen,Bad+Kleinen,MV
Bad Krozingen,Bad+Krozingen,BW
Bad Oeynhausen,Bad Oeynhausen,NW
Bad Reichenhall,Bad+Reichenhall,BY
Bad Reichenhall-Kirchberg,Bad+Reichenhall,BY
Bad Schandau,Bad+Schandau,SN
Bad Zwischenahn,Bad+Zwischenahn,NI
Baden-Baden,Baden-Baden,AG
Bahnsteig 2 3,no-data,BY
Bamberg,Bamberg,BY
Basel Bad Bf,no-data,BY
Basel SBB,no-data,BY
Bassecourt,no-data,BY
Bayerisch Gmain,Bayerisch Gmain,BY
Bebra,Bebra,HE
Bellinzona,no-data,BY
Bensheim,Bensheim,HE
Berchtesgaden Hbf,Berchtesgaden,BY
Bergen auf Rügen,Bergen+auf+Rügen,MV
Berlin Gesundbrunnen,Berlin,BE
Berlin Hbf,Berlin,BE
Berlin Hbf (tief),Berlin,BE
Berlin Ostbahnhof,Berlin,BE
