eva,ds100,name,lat,lon,city_search_string,city,zip,filename
8000001,KA,Aachen Hbf,50.7678,6.091499,Aachen,Aachen,52064.0,
8070704,KASZ,Aachen Schanz,50.769861999999996,6.0738400000000015,Aachen,Aachen,52064.0,
8000404,KAW,Aachen West,50.780359999999995,6.070715,Aachen,Aachen,52072.0,
8000406,KARE,Aachen-Rothe Erde,50.77020200000001,6.116475,Aachen,Aachen,52066.0,
8000002,TA,Aalen Hbf,48.841013000000004,10.096271,Aalen,Aalen,73430.0,Aalen
8007826,KAB,Abenden,50.671085,6.4764589999999975,no-data,no-data,,
8000410,MABG,Abensberg,48.819456,11.84662,Abensberg,Abensberg,93326.0,
8000412,RAH,Achern,48.633990000000004,8.065324,Achern,Achern,77855.0,
8007001,RAHS,Achern Stadt,48.625735999999996,8.067706,no-data,no-data,,
8000413,HACH,Achim,53.01599,9.030447,Achim,Achim,28832.0,
8007291,RAK,Achkarren,48.060088,7.60787,no-data,no-data,,
8000414,HAMR,Achmer,52.390479,7.94216,Bramsche-Achmer,Bramsche-Achmer,49565.0,
8000416,AACW,Achterwehr,54.314913,9.964024,Achterwehr,Achterwehr,24239.0,
8000418,HADB,Adelebsen,51.577690000000004,9.760044,Adelebsen,Adelebsen,37139.0,
8000419,MAD,Adelschlag,48.84075900000001,11.211443,Adelschlag,Adelschlag,85111.0,
8000420,NADM,Adelsdorf(Mittelfr),49.474944,10.687041,Neuhof a.d.Zenn,Neuhof a.d.Zenn,90616.0,
8000423,RADN,Adelsheim Nord,49.42149000000001,9.392754,Osterburken,Osterburken,74706.0,
8000424,TAD,Adelsheim Ost,49.403123,9.395127,Adelsheim,Adelsheim,74740.0,
8011002,DADO,Adorf(Erzgeb),50.76385,12.873666,no-data,no-data,,
8010001,DAD,Adorf(Vogtl),50.323926,12.260789,Adorf,Adorf,8626.0,
8000431,TAF,Affaltrach,49.137832,9.379012,Obersulm,Obersulm,74182.0,
8000433,MAGD,Agatharied,47.765606,11.824472,Hausham,Hausham,83734.0,
8000434,AABG,Agathenburg,53.564111,9.531244000000001,Agathenburg,Agathenburg,21684.0,
8007445,RAG,Aglasterhausen,49.350097,8.990838,Aglasterhausen,Aglasterhausen,74858.0,
8000436,RA,Aha,47.833224,8.134349,Schluchsee,Schluchsee,79859.0,
8000437,EAHS,Ahaus,52.081681,7.016453,Ahaus,Ahaus,48683.0,
8087025,WABO,Ahlbeck Ostseetherme,53.944426,14.177287,no-data,no-data,,
8000441,EAHL,Ahlen(Westf),51.761062,7.895488,Ahlen,Ahlen ,59227.0,
8000442,HAHO,Ahlhorn,52.89932099999999,8.209429,Ahlhorn,Ahlhorn,26197.0,
8000443,HALT,Ahlten,52.376062,9.904613000000001,Lehrte,Lehrte,31275.0,
8000457,FATC,Ahnatal Casselbreite,51.36286,9.434061,no-data,no-data,,
8002675,FHEH,Ahnatal-Heckershausen,51.362991,9.422727,no-data,no-data,,
8006286,FWEI,Ahnatal-Weimar,51.363628999999996,9.391588,no-data,no-data,,
8001209,KBRU,Ahrbrück,50.489678999999995,6.972391,Ahrbrück,Ahrbrück,53506.0,
8000446,AAHR,Ahrensburg,53.669171,10.236206,Ahrensburg,Ahrensburg,22926.0,
8000480,AAHG,Ahrensburg-Gartenholz,53.68848199999999,10.251786,Ahrensburg,Ahrensburg,22926.0,
8011003,BAHR,Ahrensfelde,52.571375,13.565154000000001,Berlin,Berlin,12689.0,Berlin
8089188,BAF,Ahrensfelde (S),52.57124449999999,13.565551000000001,no-data,no-data,,
8011004,BAFR,Ahrensfelde Friedhof,52.580881999999995,13.573316,Ahrensfelde,Ahrensfelde,16356.0,
8011005,BAFN,Ahrensfelde Nord,52.590685,13.581985000000001,Ahrensfelde,Ahrensfelde ,16356.0,
8000448,KAH,Ahrweiler,50.546544,7.107071,Bad Neuenahr-Ahrweiler,Bad Neuenahr-Ahrweiler,53474.0,
8000449,KAHM,Ahrweiler Markt,50.544228000000004,7.0942289999999995,Bad Neuenahr-Ahrweiler,Bad Neuenahr-Ahrweiler,53474.0,
8000451,MAIC,Aich(Niederbay),48.417315,12.398163,no-data,no-data,,
8000452,MAI,Aichach,48.461117,11.122721,Aichach,Aichach,86551.0,
8000454,TAI,Aichstetten,47.887884,10.07494,Aichstetten,Aichstetten,88317.0,
8072132,MAID,Aindorf,47.987041999999995,12.357742,no-data,no-data,,
8000459,MAIN,Ainring,47.815033,12.964501,Ainring,Ainring,83404.0,
8000463,RAL,Albbruck,47.592234999999995,8.131774,Albbruck,Albbruck,79774.0,
8000464,AAL,Albersdorf,54.146319999999996,9.292150999999999,Albersdorf,Albersdorf,25767.0,
8000466,RAR,Albersweiler(Pfalz),49.21847,8.024464,Albersweiler,Albersweiler,76857.0,
723571,RETF,"Albgaubad, Ettlingen",48.936839,8.415256,no-data,no-data,,
8000468,FAG,Albig,49.771375,8.116579,Albig,Albig,55234.0,
8070252,FALH,Albisheim(Pfrimm),49.644776,8.096752,no-data,no-data,,
8017000,LALB,Albrechtshaus,51.642173,10.929267,no-data,no-data,,
8080040,BAS,Albrechtshof,52.549395999999994,13.128917000000001,Berlin,Berlin,13591.0,Berlin
8000471,FALS,Albshausen,50.545716,8.434869,Solms,Solms,35606.0,
8070096,RAM,Albsheim(Eis),49.580683,8.178998,Obrigheim,Obrigheim,67283.0,
8000473,TAE,Albstadt-Ebingen,48.21029,9.026962,Albstadt,Albstadt,72458.0,
8079089,TAEW,Albstadt-Ebingen West,48.21139,8.99698,Albstadt,Albstadt,72458.0,
8000474,TALO,Albstadt-Laufen Ort,48.222859,8.917316,Albstadt,Albstadt,72459.0,
8000475,TALT,Albstadt-Lautlingen,48.213638,8.95462,Albstadt,Albstadt,72459.0,
8000477,KALK,Aldekerk,51.435759000000004,6.412542,Kerken,Kerken,47647.0,
8000481,TALD,Aldingen(b Spaichingen),48.095845000000004,8.713033,Aldingen,Aldingen,78554.0,
8000482,MALH,Aletshausen,48.201313,10.383631,Aletshausen,Aletshausen,86480.0,
8017001,LAX,Alexisbad,51.648132000000004,11.115311,no-data,no-data,,
8000483,HALF,Alfeld(Leine),51.981417,9.817779,Alfeld,Alfeld ,31061.0,
8000486,HAHS,Alfhausen,52.50347141,7.9643380000000015,no-data,no-data,,
8000495,KALI,Alfter-Impekoven,50.711016,7.019831,Alfter,Alfter,53347.0,
8006516,KWIS,Alfter-Witterschlick,50.689698,7.026083,Alfter,Alfter,53347.0,
8000488,HALG,Algermissen,52.25188,9.966472,Algermissen,Algermissen,31191.0,
8000489,HALI,Aligse,52.403462,9.979349000000001,Lehrte,Lehrte,31275.0,
8000492,FADD,Allendorf(Dillkr),50.743811,8.185486000000001,Haiger,Haiger,35708.0,
8000493,FALD,Allendorf(Eder) Bf,51.025899,8.677197,no-data,no-data,,
8000496,RAB,Allensbach,47.714464,9.068852,Allensbach,Allensbach,78476.0,
8000498,NALB,Allersberg(Rothsee),49.262131,11.212572999999999,Allersberg,Allersberg,90584.0,
8000499,TALL,Allmendingen,48.327734,9.722382000000001,Allmendingen,Allmendingen,89604.0,
